"","Species","Island","Clutch Completion","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex","Delta 15 N (o/oo)","Delta 13 C (o/oo)"
"219","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",47.4,14.6,212,4725,"FEMALE",8.19101,-26.24369
"220","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",50,15.9,224,5350,"MALE",8.20042,-26.39677
"221","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",44.9,13.8,212,4750,"FEMALE",8.11238,-26.20372
"222","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",50.8,17.3,228,5600,"MALE",8.27428,-26.30019
"223","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",43.4,14.4,218,4600,"FEMALE",8.23468,-26.18599
"224","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",51.3,14.2,218,5300,"MALE",8.15426,-26.3433
"225","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",47.5,14,212,4875,"FEMALE",8.12691,-26.23613
"226","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",52.1,17,230,5550,"MALE",8.27595,-26.11657
"227","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",47.5,15,218,4950,"FEMALE",8.29671,-26.08547
"228","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",52.2,17.1,228,5400,"MALE",8.36701,-25.89834
"229","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",45.5,14.5,212,4750,"FEMALE",8.15566,-26.22848
"230","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",49.5,16.1,224,5650,"MALE",8.83352,-25.69195
"231","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",44.5,14.7,214,4850,"FEMALE",8.20106,-26.16524
"232","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",50.8,15.7,226,5200,"MALE",8.27102,-26.11244
"233","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",49.4,15.8,216,4925,"MALE",8.03624,-26.06594
"234","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",46.9,14.6,222,4875,"FEMALE",7.8881,-26.04726
"235","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",48.4,14.4,203,4625,"FEMALE",8.16582,-26.13971
"236","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",51.1,16.5,225,5250,"MALE",8.2066,-26.36863
"237","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",48.5,15,219,4850,"FEMALE",8.10231,-26.18763
"238","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",55.9,17,228,5600,"MALE",8.3118,-26.35425
"239","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",47.2,15.5,215,4975,"FEMALE",8.30817,-26.21651
"240","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",49.1,15,228,5500,"MALE",8.65914,-25.79203
"241","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",46.8,16.1,215,5500,"MALE",8.32359,-26.05756
"242","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",41.7,14.7,210,4700,"FEMALE",8.12311,-26.44815
"243","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",53.4,15.8,219,5500,"MALE",8.41017,-26.33867
"244","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",43.3,14,208,4575,"FEMALE",8.4207,-26.38092
"245","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",48.1,15.1,209,5500,"MALE",8.45738,-26.22664
"246","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",50.5,15.2,216,5000,"FEMALE",8.24691,-26.18466
"247","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",49.8,15.9,229,5950,"MALE",8.29226,-26.21019
"248","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",43.5,15.2,213,4650,"FEMALE",8.21634,-26.11046
"249","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",51.5,16.3,230,5500,"MALE",8.78557,-25.76147
"250","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",46.2,14.1,217,4375,"FEMALE",8.30231,-25.96013
"251","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",55.1,16,230,5850,"MALE",8.08354,-26.18161
"252","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",48.8,16.2,222,6000,"MALE",8.33825,-25.88547
"253","Gentoo penguin (Pygoscelis papua)","Biscoe","No",47.2,13.7,214,4925,"FEMALE",7.99184,-26.20538
"254","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",46.8,14.3,215,4850,"FEMALE",8.41151,-26.13832
"255","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",50.4,15.7,222,5750,"MALE",8.30166,-26.04117
"256","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",45.2,14.8,212,5200,"FEMALE",8.24246,-26.11969
"257","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",49.9,16.1,213,5400,"MALE",8.3639,-26.15531
"258","Chinstrap penguin (Pygoscelis antarctica)","Dream","No",46.5,17.9,192,3500,"FEMALE",9.03935,-24.30229
"259","Chinstrap penguin (Pygoscelis antarctica)","Dream","No",50,19.5,196,3900,"MALE",8.92069,-24.23592
"260","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",51.3,19.2,193,3650,"MALE",9.29078,-24.7557
"261","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",45.4,18.7,188,3525,"FEMALE",8.64701,-24.62717
"262","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",52.7,19.8,197,3725,"MALE",9.00642,-24.61867
"263","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",45.2,17.8,198,3950,"FEMALE",8.88942,-24.49433
"264","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",46.1,18.2,178,3250,"FEMALE",8.85664,-24.55644
"265","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",51.3,18.2,197,3750,"MALE",8.63701,-24.84059
"266","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",46,18.9,195,4150,"FEMALE",8.47173,-24.29229
"267","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",51.3,19.9,198,3700,"MALE",8.79581,-24.36088
"268","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",46.6,17.8,193,3800,"FEMALE",8.95063,-24.59897
"269","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",51.7,20.3,194,3775,"MALE",8.68747,-24.38751
"270","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",47,17.3,185,3700,"FEMALE",8.72037,-24.80526
"271","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",52,18.1,201,4050,"MALE",9.0233,-24.38933
"272","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",45.9,17.1,190,3575,"FEMALE",9.12277,-24.90024
"273","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",50.5,19.6,201,4050,"MALE",9.8059,-24.7294
"274","Chinstrap penguin (Pygoscelis antarctica)","Dream","No",50.3,20,197,3300,"MALE",10.02019,-24.54704
"275","Chinstrap penguin (Pygoscelis antarctica)","Dream","No",58,17.8,181,3700,"FEMALE",9.14382,-24.57994
"276","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",46.4,18.6,190,3450,"FEMALE",9.32105,-24.64162
"277","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",49.2,18.2,195,4400,"MALE",9.27158,-24.64335
"278","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",42.4,17.3,181,3600,"FEMALE",9.35138,-24.6879
"279","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",48.5,17.5,191,3400,"MALE",9.42666,-24.26375
"280","Chinstrap penguin (Pygoscelis antarctica)","Dream","No",43.2,16.6,187,2900,"FEMALE",9.35416,-25.01185
"281","Chinstrap penguin (Pygoscelis antarctica)","Dream","No",50.6,19.4,193,3800,"MALE",9.28153,-24.97134
"282","Chinstrap penguin (Pygoscelis antarctica)","Dream","No",46.7,17.9,195,3300,"FEMALE",9.74144,-24.59467
"283","Chinstrap penguin (Pygoscelis antarctica)","Dream","No",52,19,197,4150,"MALE",9.36799,-24.47142
"284","Chinstrap penguin (Pygoscelis antarctica)","Dream","No",50.5,18.4,200,3400,"FEMALE",8.9399,-23.89017
"285","Chinstrap penguin (Pygoscelis antarctica)","Dream","No",49.5,19,200,3800,"MALE",9.63074,-24.34684
"286","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",46.4,17.8,191,3700,"FEMALE",9.37369,-24.52896
"287","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",52.8,20,205,4550,"MALE",9.25177,-24.69638
"288","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",40.9,16.6,187,3200,"FEMALE",9.08458,-24.54903
"289","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",54.2,20.8,201,4300,"MALE",9.49283,-24.59996
"290","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",42.5,16.7,187,3350,"FEMALE",9.36668,-24.45195
"291","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",51,18.8,203,4100,"MALE",9.23196,-24.17282
"292","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",49.7,18.6,195,3600,"MALE",9.75486,-24.31198
"293","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",47.5,16.8,199,3900,"FEMALE",9.07825,-25.1455
"294","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",47.6,18.3,195,3850,"FEMALE",8.83502,-24.65859
"295","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",52,20.7,210,4800,"MALE",9.43146,-24.6844
"296","Chinstrap penguin (Pygoscelis antarctica)","Dream","No",46.9,16.6,192,2700,"FEMALE",9.80589,-24.73735
"297","Chinstrap penguin (Pygoscelis antarctica)","Dream","No",53.5,19.9,205,4500,"MALE",10.02544,-24.90816
"298","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",49,19.5,210,3950,"MALE",9.53262,-24.66867
"299","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",46.2,17.5,187,3650,"FEMALE",9.61734,-24.66188
"300","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",50.9,19.1,196,3550,"MALE",10.02372,-24.86594
"301","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",45.5,17,196,3500,"FEMALE",9.36493,-24.66259
"302","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",50.9,17.9,196,3675,"FEMALE",9.43684,-24.16566
"303","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",50.8,18.5,201,4450,"MALE",9.45827,-24.35575
"304","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",50.1,17.9,190,3400,"FEMALE",9.46819,-24.45721
"305","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",49,19.6,212,4300,"MALE",9.34089,-24.45189
"306","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",51.5,18.7,187,3250,"MALE",9.6895,-24.43062
"307","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",49.8,17.3,198,3675,"FEMALE",9.32169,-24.41562
"308","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",48.1,16.4,199,3325,"FEMALE",9.46929,-24.48403
"309","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",51.4,19,201,3950,"MALE",9.43782,-24.36202
"310","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",45.7,17.3,193,3600,"FEMALE",9.415,-24.805
"311","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",50.7,19.7,203,4050,"MALE",9.93727,-24.59066
"312","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",42.5,17.3,187,3350,"FEMALE",9.56534,-24.60882
"313","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",52.2,18.8,197,3450,"MALE",9.77528,-24.56481
"314","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",45.2,16.6,191,3250,"FEMALE",9.62357,-24.78984
"315","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",49.3,19.9,203,4050,"MALE",9.88809,-24.59513
"316","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",50.2,18.8,202,3800,"MALE",9.74492,-24.404
"317","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",45.6,19.4,194,3525,"FEMALE",9.46985,-24.65786
"318","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",46.8,16.5,189,3650,"FEMALE",9.65061,-24.48153
"319","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",45.7,17,195,3650,"FEMALE",9.26715,-24.31912
"320","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",55.8,19.8,207,4000,"MALE",9.70465,-24.53494
"321","Chinstrap penguin (Pygoscelis antarctica)","Dream","No",43.5,18.1,202,3400,"FEMALE",9.37608,-24.40753
"322","Chinstrap penguin (Pygoscelis antarctica)","Dream","No",49.6,18.2,193,3775,"MALE",9.4618,-24.70615
"323","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",50.8,19,210,4100,"MALE",9.98044,-24.68741
"324","Chinstrap penguin (Pygoscelis antarctica)","Dream","Yes",50.2,18.7,198,3775,"FEMALE",9.39305,-24.25255
